#Parameters = {ApertureA=7300; ApertureB=6000; Horn_Height=7300; ProbeHeight=1333; ProbeL=2000; ProbeR=23.5; ProbeRin=69.2; ProbeRout=72; R=10000; Thickness=3; WGH=3200; WGL=3000; WGW=2000}
#"Frequency / GHz"	"S1,1 (1) [Magnitude / dB]"
#---------------------------------------------
0.076849997043610	-20.914313996248
0.076899997889996	-21.060668765999
0.076949998736382	-21.209664251049
0.076999999582767	-21.361307027509
0.077050000429153	-21.515600866140
0.077100001275539	-21.672544826038
0.077150002121925	-21.832133676950
0.077200002968311	-21.994363341764
0.077249996364117	-22.159227099655
0.077299997210503	-22.326711982806
0.077349998056889	-22.496809226329
0.077399998903275	-22.669507228332
0.077449999749660	-22.844794644995
0.077500000596046	-23.022657330801
0.077550001442432	-23.203087135621
0.077600002288818	-23.386070792724
0.077650003135204	-23.571601917510
0.077699996531010	-23.759676153564
0.077749997377396	-23.950288047588
0.077799998223782	-24.143438400384
0.077849999070168	-24.339129456627
0.077899999916553	-24.537370518229
0.077950000762939	-24.738167192124
0.078000001609325	-24.941536659971
0.078050002455711	-25.147488649480
0.078100003302097	-25.356044169490
0.078149996697903	-25.567214885290
0.078199997544289	-25.781018002604
0.078249998390675	-25.997461505625
0.078299999237061	-26.216548359220
0.078350000083447	-26.438268378209
0.078400000929832	-26.662598752345
0.078450001776218	-26.889488886036
0.078500002622604	-27.118868905884
0.078550003468990	-27.350623185140
0.078599996864796	-27.584597855901
0.078649997711182	-27.820577833240
0.078699998557568	-28.058283509722
0.078749999403954	-28.297346423465
0.078800000250340	-28.537303759159
0.078850001096725	-28.777572421466
0.078900001943111	-29.017440534965
0.078950002789497	-29.256031284925
0.079000003635883	-29.492306634551
0.079049997031689	-29.725028517964
0.079099997878075	-29.952752934337
0.079149998724461	-30.173826273592
0.079199999570847	-30.386368993427
0.079250000417233	-30.588303895512
0.079300001263618	-30.777366500032
0.079350002110004	-30.951157465057
0.079400002956390	-31.107203130391
0.079449996352196	-31.243042770915
0.079499997198582	-31.356326743207
0.079549998044968	-31.444938580599
0.079599998891354	-31.507105586484
0.079649999737740	-31.541515585683
0.079700000584126	-31.547405244547
0.079750001430511	-31.524614264166
0.079800002276897	-31.473604406939
0.079850003123283	-31.395427512621
0.079899996519089	-31.291670015098
0.079949997365475	-31.164345611110
0.079999998211861	-31.015789823319
0.080049999058247	-30.848536050500
0.080099999904633	-30.665202950554
0.080150000751019	-30.468392287713
0.080200001597404	-30.260610119393
0.080250002443790	-30.044208272910
0.080300003290176	-29.821336262942
0.080349996685982	-29.593930850648
0.080399997532368	-29.363694513726
0.080449998378754	-29.132106202713
0.080499999225140	-28.900432204648
0.080550000071526	-28.669731879627
0.080600000917912	-28.440884378758
0.080650001764297	-28.214604103816
0.080700002610683	-27.991459334856
0.080750003457069	-27.771886221479
0.080799996852875	-27.556211602286
0.080849997699261	-27.344667242279
0.080899998545647	-27.137397312816
0.080949999392033	-26.934479082245
0.081000000238419	-26.735924936784
0.081050001084805	-26.541701780536
0.081100001931190	-26.351728609453
0.081150002777576	-26.165894289405
0.081200003623962	-25.984052447302
0.081249997019768	-25.806040451350
0.081299997866154	-25.631672008978
0.081349998712540	-25.460750870770
0.081399999558926	-25.293070480557
0.081450000405312	-25.128416958272
0.081500001251698	-24.966574940545
0.081550002098083	-24.807331287055
0.081600002944469	-24.650475042731
0.081649996340275	-24.495801099336
